gene	S1.ALL	S2.ALL	S3.ALL	S4.ALL	S5.ALL	S6.ALL	S7.ALL	S8.ALL	S9.ALL	S10.ALL	S11.ALL	S12.ALL	S13.ALL	S14.ALL	S15.ALL	S16.ALL	S17.ALL	S18.ALL	S19.ALL	S20.ALL	S21.ALL	S22.ALL	S23.ALL	S24.ALL	S25.ALL	S26.ALL	S27.ALL	S28.AML	S29.AML	S30.AML	S31.AML	S32.AML	S33.AML	S34.AML	S35.AML	S36.AML	S37.AML	S38.AML
VSNL1	4.24792751344359	4.90689059560852	7.51569983828404	6.56985560833095	6.16992500144231	6.68650052718322	5.97727992349992	5.55458885167764	5.32192809488736	5.88264304936184	6.96578428466209	0	5.93073733756289	6	6.12928301694497	6.22881869049588	5.55458885167764	4.39231742277876	0	5.88264304936184	5.35755200461808	3.70043971814109	5.35755200461808	7.69348695749933	0	5.90689059560852	5.52356195605701	4.39231742277876	6.93073733756289	6.74146698640115	4.75488750216347	5.49185309632967	6.37503943134692	5.12928301694497	5.6724253419715	4.16992500144231	5.88264304936184	6.76818432477693
HRSP12	0	3.58496250072116	0	4.16992500144231	5.32192809488736	0	0	0	0	0	0	3.32192809488736	6.28540221886225	5.12928301694497	4.39231742277876	0	6.2667865406949	0	0	6.98868468677217	6.79441586635011	0	0	5.97727992349992	0	0	0	7.56224242422107	0	0	0	0	4.32192809488736	4.85798099512757	4.4594316186373	0	0	0
INHBB	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HPCAL1	0	0	0	0	6.32192809488736	0	5.4262647547021	0	0	0	0	6.97727992349992	0	0	0	0	2.32192809488736	0	6.64385618977472	8.47167521439204	0	0	0	0	4.75488750216347	0	0	0	0	0	0	0	0	6.96578428466209	0	0	0	0
MMP7	0	4.39231742277876	6.49185309632967	4.8073549220576	5.64385618977472	0	6.39231742277876	0	5.93073733756289	6.49185309632967	4.58496250072116	4.4594316186373	4	4.4594316186373	5.20945336562895	4.08746284125034	6.4757334309664	5.08746284125034	4.24792751344359	5.93073733756289	5.4594316186373	0	0	3	4.16992500144231	5.93073733756289	3.16992500144231	6.49185309632967	5.70043971814109	0	0	6.35755200461808	6.4594316186373	6.33985000288462	5.64385618977472	4.16992500144231	0	4.08746284125034
PRKACA	9.14720492494223	8.2807707701306	8.43879185257826	0	8.39660478118186	7.81378119121704	0	0	10.1636496760158	7.65821148275179	8.63299519714296	6.4262647547021	9.86418614465428	8.37503943134693	8.61838550225861	7.03342300153745	7.51569983828404	6.53915881110803	4.58496250072116	9.06877827798541	7.14974711950468	0	6.61470984411521	7.8073549220576	6.8073549220576	9.40087943628218	0	7.40087943628218	0	10.2203783276952	5.20945336562895	0	0	0	8.70735913208088	7.11894107272351	7.83289001416474	0
REG1P	9.35755200461808	8.2240016741981	8.85798099512757	8.27612440527424	7.84549005094437	8.18487534290828	8.58120058192496	9.16490692667569	9.17242750864548	8.29462074889163	8.08746284125034	7.58496250072116	8.00562454919388	8.04439411935845	7.68650052718322	8.73131903102506	9.46964181723952	8.48784003382305	8.02236781302845	8.62205181945638	8.01122725542325	8.3264294871223	8.2807707701306	8.65105169117893	8.2336196767597	8.67948009950545	9.4655664048094	8.51569983828404	8.08214904135387	9.17492568250068	8.63299519714296	9.4178525148859	9.15987133677839	7.77478705960117	8.47167521439204	8.56605403817109	8.50382573799575	9.10590850857116
LIPF	7.06608919045777	3.4594316186373	7.17990909001493	5.28540221886225	5.28540221886225	6.4594316186373	0	7.05528243550119	0	4.8073549220576	0	0	6.04439411935845	2	5.4594316186373	7	3.58496250072116	3.90689059560852	4.8073549220576	6.49185309632967	0	5.61470984411521	7.20945336562895	5.49185309632967	6.82017896241519	6.06608919045777	0	5.35755200461808	3.16992500144231	6.64385618977472	4.4594316186373	6.24792751344359	5.85798099512757	4.24792751344359	0	2.58496250072116	7.34872815423108	4.95419631038687
HBQ1	6.24792751344359	6.22881869049588	0	0	5.49185309632967	6.84549005094437	3	7.78790255939143	0	6	5.61470984411521	0	0	5.39231742277876	6.53915881110803	0	7.33985000288462	0	7.44294349584873	8.79116288855502	0	4.8073549220576	0	0	6.91886323727459	7.39231742277876	7.23840473932508	6.4093909361377	6.68650052718322	0	8.66888498426625	10.0182001788132	6.98868468677217	9.33539035469392	5.83289001416474	5.75488750216347	7.27612440527424	7.4594316186373
PCP4	8.06069593168755	5.78135971352466	7.64385618977472	0	6.04439411935845	0	0	0	5.85798099512757	3.58496250072116	6.33985000288462	0	5.55458885167764	6.94251450533924	5.4594316186373	5.32192809488736	6.58496250072116	0	5.8073549220576	0	1	7.2667865406949	5.4262647547021	4.16992500144231	4.95419631038687	5.83289001416474	7.2667865406949	5.04439411935845	0	0	6.6724253419715	0	0	0	7.01122725542325	0	7.27612440527424	0
